agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1968,3,43.3,31
USGS,05320500,00060,325200,,1968,4,152.9,30
USGS,05320500,00060,325200,,1968,5,147.1,31
USGS,05320500,00060,325200,,1968,6,555.5,30
USGS,05320500,00060,325200,,1968,7,2355.0,31
USGS,05320500,00060,325200,,1968,8,2602.0,31
USGS,05320500,00060,325200,,1968,9,1436.0,30
USGS,05320500,00060,325200,,1968,10,3300.0,31
USGS,05320500,00060,325200,,1968,11,852.2,30
USGS,05320500,00060,325200,,1968,12,303.8,31
USGS,05320500,00060,325200,,1969,1,215.7,31
USGS,05320500,00060,325200,,1969,2,167.8,28
USGS,05320500,00060,325200,,1969,3,2296.0,31
USGS,05320500,00060,325200,,1969,4,3622.0,30
USGS,05320500,00060,325200,,1969,5,955.9,31
USGS,05320500,00060,325200,,1969,6,369.5,30
USGS,05320500,00060,325200,,1969,7,786.0,31
USGS,05320500,00060,325200,,1969,8,90.3,31
USGS,05320500,00060,325200,,1969,9,32.3,30
USGS,05320500,00060,325200,,1969,10,30.8,31
USGS,05320500,00060,325200,,1969,11,48.5,30
USGS,05320500,00060,325200,,1969,12,37.1,31
USGS,05320500,00060,325200,,1970,1,59.8,31
USGS,05320500,00060,325200,,1970,2,59.1,28
USGS,05320500,00060,325200,,1970,3,78.1,31
USGS,05320500,00060,325200,,1970,4,923.9,30
USGS,05320500,00060,325200,,1970,5,924.7,31
USGS,05320500,00060,325200,,1970,6,666.7,30
USGS,05320500,00060,325200,,1970,7,143.3,31
USGS,05320500,00060,325200,,1970,8,85.9,31
USGS,05320500,00060,325200,,1970,9,109.8,30
USGS,05320500,00060,325200,,1970,10,858.6,31
USGS,05320500,00060,325200,,1970,11,1430.0,30
USGS,05320500,00060,325200,,1970,12,336.0,31
USGS,05320500,00060,325200,,1971,1,80.3,31
USGS,05320500,00060,325200,,1971,2,41.9,28
USGS,05320500,00060,325200,,1971,3,1905.0,31
USGS,05320500,00060,325200,,1971,4,1320.0,30
USGS,05320500,00060,325200,,1971,5,511.8,31
USGS,05320500,00060,325200,,1971,6,1134.0,30
USGS,05320500,00060,325200,,1971,7,494.9,31
USGS,05320500,00060,325200,,1971,8,65.7,31
USGS,05320500,00060,325200,,1971,9,36.3,30
USGS,05320500,00060,325200,,1971,10,48.5,31
USGS,05320500,00060,325200,,1971,11,177.1,30
USGS,05320500,00060,325200,,1971,12,109.9,31
USGS,05320500,00060,325200,,1972,1,23.7,31
USGS,05320500,00060,325200,,1972,2,19.9,29
USGS,05320500,00060,325200,,1972,3,759.8,31
USGS,05320500,00060,325200,,1972,4,443.1,30
USGS,05320500,00060,325200,,1972,5,476.5,31
