parm_cd,group,parm_nm,parm_unit
34461,"Organics, Other","Phenanthrene, water, unfiltered, recoverable, micrograms per liter",ug/l
34462,"Organics, Other","Phenanthrene, water, filtered, recoverable, micrograms per liter",ug/l
34463,"Organics, Other","Phenanthrene, suspended sediment, recoverable, micrograms per liter",ug/l
34464,"Organics, Other","Phenanthrene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34466,"Organics, Other","Phenol, water, filtered, recoverable, micrograms per liter",ug/l
34467,"Organics, Other","Phenol, suspended sediment, recoverable, micrograms per liter",ug/l
34469,"Organics, Other","Pyrene, water, unfiltered, recoverable, micrograms per liter",ug/l
34470,"Organics, Other","Pyrene, water, filtered, recoverable, micrograms per liter",ug/l
34471,"Organics, Other","Pyrene, suspended sediment, recoverable, micrograms per liter",ug/l
34472,"Organics, Other","Pyrene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34475,"Organics, Other","Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter",ug/l
34476,"Organics, Other","Tetrachloroethene, water, filtered, recoverable, micrograms per liter",ug/l
34478,"Organics, Other","Tetrachloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34480,"Inorganics, Minor, Metals","Thallium, bed sediment, total digestion, dry weight, milligrams per kilogram",mg/kg
34481,"Organics, Other","Toluene, water, filtered, recoverable, micrograms per liter",ug/l
34483,"Organics, Other","Toluene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34485,"Organics, Other","Trichloroethene, water, filtered, recoverable, micrograms per liter",ug/l
34487,"Organics, Other","Trichloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34488,"Organics, Other","Trichlorofluoromethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34489,"Organics, Other","Trichlorofluoromethane, water, filtered, recoverable, micrograms per liter",ug/l
34490,"Organics, Other","Trichlorofluoromethane, suspended sediment, recoverable, micrograms per liter",ug/l
34491,"Organics, Other","Trichlorofluoromethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34493,"Organics, Other","Vinyl chloride, water, filtered, recoverable, micrograms per liter",ug/l
34495,"Organics, Other","Vinyl chloride, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34496,"Organics, Other","1,1-Dichloroethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34497,"Organics, Other","1,1-Dichloroethane, water, filtered, recoverable, micrograms per liter",ug/l
34499,"Organics, Other","1,1-Dichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34501,"Organics, Other","1,1-Dichloroethene, water, unfiltered, recoverable, micrograms per liter",ug/l
34502,"Organics, Other","1,1-Dichloroethene, water, filtered, recoverable, micrograms per liter",ug/l
34504,"Organics, Other","1,1-Dichloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34506,"Organics, Other","1,1,1-Trichloroethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34507,"Organics, Other","1,1,1-Trichloroethane, water, filtered, recoverable, micrograms per liter",ug/l
34509,"Organics, Other","1,1,1-Trichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34511,"Organics, Other","1,1,2-Trichloroethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34512,"Organics, Other","1,1,2-Trichloroethane, water, filtered, recoverable, micrograms per liter",ug/l
34514,"Organics, Other","1,1,2-Trichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34516,"Organics, Other","1,1,2,2-Tetrachloroethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34517,"Organics, Other","1,1,2,2-Tetrachloroethane, water, filtered, recoverable, micrograms per liter",ug/l
34519,"Organics, Other","1,1,2,2-Tetrachloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34521,"Organics, Other","Benzo[ghi]perylene, water, unfiltered, recoverable, micrograms per liter",ug/l
34522,"Organics, Other","Benzo[ghi]perylene, water, filtered, recoverable, micrograms per liter",ug/l
34523,"Organics, Other","Benzo[ghi]perylene, suspended sediment, recoverable, micrograms per liter",ug/l
34524,"Organics, Other","Benzo[ghi]perylene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34526,"Organics, Other","Benzo[a]anthracene, water, unfiltered, recoverable, micrograms per liter",ug/l
34527,"Organics, Other","Benzo[a]anthracene, water, filtered, recoverable, micrograms per liter",ug/l
34528,"Organics, Other","Benzo[a]anthracene, suspended sediment, recoverable, micrograms per liter",ug/l
34529,"Organics, Other","Benzo[a]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34531,"Organics, Pesticide","1,2-Dichloroethane, water, unfiltered, recoverable, micrograms per liter",ug/l
34532,"Organics, Pesticide","1,2-Dichloroethane, water, filtered, recoverable, micrograms per liter",ug/l
34534,"Organics, Pesticide","1,2-Dichloroethane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34536,"Organics, Other","1,2-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",ug/l
34537,"Organics, Other","1,2-Dichlorobenzene, water, filtered, recoverable, micrograms per liter",ug/l
34538,"Organics, Other","1,2-Dichlorobenzene, suspended sediment, recoverable, micrograms per liter",ug/l
34539,"Organics, Other","1,2-Dichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34541,"Organics, Pesticide","1,2-Dichloropropane, water, unfiltered, recoverable, micrograms per liter",ug/l
34542,"Organics, Pesticide","1,2-Dichloropropane, water, filtered, recoverable, micrograms per liter",ug/l
34543,"Organics, Pesticide","1,2-Dichloropropane, suspended sediment, recoverable, micrograms per liter",ug/l
34544,"Organics, Pesticide","1,2-Dichloropropane, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34546,"Organics, Other","trans-1,2-Dichloroethene, water, unfiltered, recoverable, micrograms per liter",ug/l
34547,"Organics, Other","trans-1,2-Dichloroethene, water, filtered, recoverable, micrograms per liter",ug/l
34549,"Organics, Other","trans-1,2-Dichloroethene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34551,"Organics, Other","1,2,4-Trichlorobenzene, water, unfiltered, recoverable, micrograms per liter",ug/l
34552,"Organics, Other","1,2,4-Trichlorobenzene, water, filtered, recoverable, micrograms per liter",ug/l
34553,"Organics, Other","1,2,4-Trichlorobenzene, suspended sediment, recoverable, micrograms per liter",ug/l
34554,"Organics, Other","1,2,4-Trichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34556,"Organics, Other","Dibenzo[a,h]anthracene, water, unfiltered, recoverable, micrograms per liter",ug/l
34557,"Organics, Other","Dibenzo[a,h]anthracene, water, filtered, recoverable, micrograms per liter",ug/l
34558,"Organics, Other","Dibenzo[a,h]anthracene, suspended sediment, recoverable, micrograms per liter",ug/l
34559,"Organics, Other","Dibenzo[a,h]anthracene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34561,"Organics, Pesticide","1,3-Dichloropropene, water, unfiltered, recoverable, micrograms per liter",ug/l
34562,"Organics, Pesticide","1,3-Dichloropropene, water, filtered, recoverable, micrograms per liter",ug/l
34566,"Organics, Other","1,3-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",ug/l
34567,"Organics, Other","1,3-Dichlorobenzene, water, filtered, recoverable, micrograms per liter",ug/l
34568,"Organics, Other","1,3-Dichlorobenzene, suspended sediment, recoverable, micrograms per liter",ug/l
34569,"Organics, Other","1,3-Dichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34571,"Organics, Pesticide","1,4-Dichlorobenzene, water, unfiltered, recoverable, micrograms per liter",ug/l
34572,"Organics, Pesticide","1,4-Dichlorobenzene, water, filtered, recoverable, micrograms per liter",ug/l
34573,"Organics, Pesticide","1,4-Dichlorobenzene, suspended sediment, recoverable, micrograms per liter",ug/l
34574,"Organics, Pesticide","1,4-Dichlorobenzene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34576,"Organics, Other","2-Chloroethyl vinyl ether, water, unfiltered, recoverable, micrograms per liter",ug/l
34577,"Organics, Other","2-Chloroethyl vinyl ether, water, filtered, recoverable, micrograms per liter",ug/l
34579,"Organics, Other","2-Chloroethyl vinyl ether, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34581,"Organics, Other","2-Chloronaphthalene, water, unfiltered, recoverable, micrograms per liter",ug/l
34582,"Organics, Other","2-Chloronaphthalene, water, filtered, recoverable, micrograms per liter",ug/l
34583,"Organics, Other","2-Chloronaphthalene, suspended sediment, recoverable, micrograms per liter",ug/l
34584,"Organics, Other","2-Chloronaphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34586,"Organics, Other","2-Chlorophenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34587,"Organics, Other","2-Chlorophenol, water, filtered, recoverable, micrograms per liter",ug/l
34588,"Organics, Other","2-Chlorophenol, suspended sediment, recoverable, micrograms per liter",ug/l
34589,"Organics, Other","2-Chlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34591,"Organics, Other","2-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34592,"Organics, Other","2-Nitrophenol, water, filtered, recoverable, micrograms per liter",ug/l
34593,"Organics, Other","2-Nitrophenol, suspended sediment, recoverable, micrograms per liter",ug/l
34594,"Organics, Other","2-Nitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34596,"Organics, Other","Di-n-octyl phthalate, water, unfiltered, recoverable, micrograms per liter",ug/l
34597,"Organics, Other","Di-n-octyl phthalate, water, filtered, recoverable, micrograms per liter",ug/l
34598,"Organics, Other","Di-n-octyl phthalate, suspended sediment, recoverable, micrograms per liter",ug/l
34599,"Organics, Other","Di-n-octyl phthalate, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34601,"Organics, Pesticide","2,4-Dichlorophenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34602,"Organics, Pesticide","2,4-Dichlorophenol, water, filtered, recoverable, micrograms per liter",ug/l
34603,"Organics, Pesticide","2,4-Dichlorophenol, suspended sediment, recoverable, micrograms per liter",ug/l
34604,"Organics, Pesticide","2,4-Dichlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34606,"Organics, Pesticide","2,4-Dimethylphenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34607,"Organics, Pesticide","2,4-Dimethylphenol, water, filtered, recoverable, micrograms per liter",ug/l
34608,"Organics, Pesticide","2,4-Dimethylphenol, suspended sediment, recoverable, micrograms per liter",ug/l
34609,"Organics, Pesticide","2,4-Dimethylphenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34611,"Organics, Other","2,4-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",ug/l
34612,"Organics, Other","2,4-Dinitrotoluene, water, filtered, recoverable, micrograms per liter",ug/l
34613,"Organics, Other","2,4-Dinitrotoluene, suspended sediment, recoverable, micrograms per liter",ug/l
34614,"Organics, Other","2,4-Dinitrotoluene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34616,"Organics, Other","2,4-Dinitrophenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34617,"Organics, Other","2,4-Dinitrophenol, water, filtered, recoverable, micrograms per liter",ug/l
34618,"Organics, Other","2,4-Dinitrophenol, suspended sediment, recoverable, micrograms per liter",ug/l
34619,"Organics, Other","2,4-Dinitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34621,"Organics, Pesticide","2,4,6-Trichlorophenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34622,"Organics, Pesticide","2,4,6-Trichlorophenol, water, filtered, recoverable, micrograms per liter",ug/l
34623,"Organics, Pesticide","2,4,6-Trichlorophenol, suspended sediment, recoverable, micrograms per liter",ug/l
34624,"Organics, Pesticide","2,4,6-Trichlorophenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34626,"Organics, Other","2,6-Dinitrotoluene, water, unfiltered, recoverable, micrograms per liter",ug/l
34627,"Organics, Other","2,6-Dinitrotoluene, water, filtered, recoverable, micrograms per liter",ug/l
34628,"Organics, Other","2,6-Dinitrotoluene, suspended sediment, recoverable, micrograms per liter",ug/l
34629,"Organics, Other","2,6-Dinitrotoluene, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34631,"Organics, Other","3,3'-Dichlorobenzidine, water, unfiltered, recoverable, micrograms per liter",ug/l
34632,"Organics, Other","3,3'-Dichlorobenzidine, water, filtered, recoverable, micrograms per liter",ug/l
34633,"Organics, Other","3,3'-Dichlorobenzidine, suspended sediment, recoverable, micrograms per liter",ug/l
34634,"Organics, Other","3,3'-Dichlorobenzidine, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34636,"Organics, Other","4-Bromophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",ug/l
34637,"Organics, Other","4-Bromophenyl phenyl ether, water, filtered, recoverable, micrograms per liter",ug/l
34638,"Organics, Other","4-Bromophenyl phenyl ether, suspended sediment, recoverable, micrograms per liter",ug/l
34639,"Organics, Other","4-Bromophenyl phenyl ether, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34641,"Organics, Other","4-Chlorophenyl phenyl ether, water, unfiltered, recoverable, micrograms per liter",ug/l
34642,"Organics, Other","4-Chlorophenyl phenyl ether, water, filtered, recoverable, micrograms per liter",ug/l
34643,"Organics, Other","4-Chlorophenyl phenyl ether, suspended sediment, recoverable, micrograms per liter",ug/l
34644,"Organics, Other","4-Chlorophenyl phenyl ether, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34646,"Organics, Pesticide","4-Nitrophenol, water, unfiltered, recoverable, micrograms per liter",ug/l
34647,"Organics, Pesticide","4-Nitrophenol, water, filtered, recoverable, micrograms per liter",ug/l
34648,"Organics, Pesticide","4-Nitrophenol, suspended sediment, recoverable, micrograms per liter",ug/l
34649,"Organics, Pesticide","4-Nitrophenol, bed sediment, recoverable, dry weight, micrograms per kilogram",ug/kg
34651,"Organics, Pesticide","p,p'-DDD, water, filtered, recoverable, micrograms per liter",ug/l
34652,"Organics, Pesticide","p,p'-DDD, suspended sediment, recoverable, micrograms per liter",ug/l
34653,"Organics, Pesticide","p,p'-DDE, water, filtered, recoverable, micrograms per liter",ug/l
